Dates, OIL_PROD, GAS_PROD, WATER_PROD, WATER_INJ, GAS_INJ, GAS_LIFT 
 #, Sm3/d, Sm3/d, m3/d, m3/d, Sm3/d, Sm3/d 
2023-01-01T00:00:00, 20999.99609375, 1889999.625, 77988.125, 8666.75
2023-01-02T00:00:00, 20073.748046875, 1806637.25, 60286.10546875, 8464.62109375
2023-01-07T00:00:00, 17337.404296875, 1560366.375, 47431.12109375, 9606.6845703125
2023-01-14T00:00:00, 15507.2783203125, 1386342.875, 36049.62109375, 11433.91796875
2023-01-30T00:00:00, 10554.58203125, 935628.375, 22939.236328125, 13710.9921875
2023-02-09T00:00:00, 9217.345703125, 813386.3125, 20535.173828125, 14716.7490234375
2023-03-07T00:00:00, 7345.55126953125, 638224.8125, 16651.330078125, 15831.931640625
2023-04-23T00:00:00, 5907.63134765625, 512918.5625, 13343.8603515625, 16311.5537109375
2023-08-04T00:00:00, 3587.875, 309503.34375, 13048.4755859375, 16460.88671875
2023-10-25T00:00:00, 2835.26318359375, 244305.75, 13322.9140625, 16464.982421875
2024-05-26T00:00:00, 2205.201904296875, 190525.15625, 13800.052734375, 16432.6640625
2025-05-26T00:00:00, 1805.15673828125, 156319.703125, 14217.92578125, 16405.57421875
2026-05-26T00:00:00, 1573.175537109375, 136464.125, 14527.408203125, 16410.701171875
2027-05-26T00:00:00, 1403.3577880859375, 121903.515625, 14762.744140625, 16427.4453125
2028-05-25T00:00:00, 1282.9700927734375, 111576.03125, 14913.2197265625, 16439.103515625
2029-05-25T00:00:00, 1187.4493408203125, 103362.703125, 15036.2255859375, 16449.26171875
2030-05-25T00:00:00, 1109.1531982421875, 96613.8828125, 15145.701171875, 16460.9921875
2031-05-25T00:00:00, 1042.3878173828125, 90849.453125, 15238.91796875, 16472.775390625
2032-05-24T00:00:00, 985.7080078125, 85960.6171875, 15316.3916015625, 16483.5546875
2033-05-24T00:00:00, 939.5587158203125, 82009.171875, 15367.3369140625, 16490.353515625
2034-05-24T00:00:00, 900.9802856445312, 78705.8359375, 15415.966796875, 16496.103515625
2035-05-24T00:00:00, 867.1790771484375, 75795.4296875, 15470.3271484375, 16504.40234375
2036-05-23T00:00:00, 836.2054443359375, 73116.828125, 15521.0205078125, 16514.353515625
2037-05-23T00:00:00, 807.4224853515625, 70628.234375, 15567.423828125, 16525.171875
2037-12-27T00:00:00, 791.3392944335938, 69238.6328125, 15593.58203125, 16531.767578125
